 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
0,0.979,0,0.67598,0,0,0,-0.67598
1,0.979,1,0.67598,1,0,1,-0.67598
2,0.979,2,0.67598,2,0,2,-0.67598
3,0.979,3,0.67598,3,0,3,-0.67598
4,0.979,4,0.67598,4,0,4,-0.67598
5,0.979,5,0.67598,5,0,5,-0.67598
6,0.979,6,0.67598,6,0,6,-0.67598
7,0.979,7,0.67598,7,0,7,-0.67598
8,0.979,8,0.67598,8,0,8,-0.67598
9,0.979,9,0.67598,9,0,9,-0.67598
10,0.979,10,0.67598,10,0,10,-0.67598
11,0.979,11,0.67598,11,0,11,-0.67598
12,0.979,12,0.67598,12,0,12,-0.67598
13,0.979,13,0.67598,13,0,13,-0.67598
14,0.979,14,0.67598,14,0,14,-0.67598
15,0.979,15,0.67598,15,0,15,-0.67598
16,0.979,16,0.67598,16,0,16,-0.67598
17,0.979,17,0.67598,17,0,17,-0.67598
18,0.979,18,0.67598,18,0,18,-0.67598
19,0.979,19,0.67598,19,0,19,-0.67598
20,0.979,20,0.67598,20,0,20,-0.67598
21,0.979,21,0.67598,21,0,21,-0.67598
22,0.979,22,0.67598,22,0,22,-0.67598
23,0.979,23,0.67598,23,0,23,-0.67598
24,0.979,24,0.67598,24,0,24,-0.67598
25,0.979,25,0.67598,25,0,25,-0.67598
26,0.979,26,0.67598,26,0,26,-0.67598
27,0.979,27,0.67598,27,0,27,-0.67598
28,0.979,28,0.67598,28,0,28,-0.67598
29,0.979,29,0.67598,29,0,29,-0.67598
30,0.979,30,0.67598,30,0,30,-0.67598
31,0.979,31,0.67598,31,0,31,-0.67598
32,0.979,32,0.67598,32,0,32,-0.67598
33,0.979,33,0.67598,33,0,33,-0.67598
34,0.979,34,0.67598,34,0,34,-0.67598
35,0.979,35,0.67598,35,0,35,-0.67598
36,0.979,36,0.67598,36,0,36,-0.67598
37,0.979,37,0.67598,37,0,37,-0.67598
38,0.979,38,0.67598,38,0,38,-0.67598
39,0.979,39,0.67598,39,0,39,-0.67598
40,0.979,40,0.67598,40,0,40,-0.67598
41,0.979,41,0.67598,41,0,41,-0.67598
42,0.979,42,0.67598,42,0,42,-0.67598
43,0.979,43,0.67598,43,0,43,-0.67598
44,0.979,44,0.67598,44,0,44,-0.67598
45,0.979,45,0.67598,45,0,45,-0.67598
46,0.979,46,0.67598,46,0,46,-0.67598
47,0.979,47,0.67598,47,0,47,-0.67598
48,0.979,48,0.67598,48,0,48,-0.67598
49,0.979,49,0.67598,49,0,49,-0.67598
50,0.979,50,0.67598,50,0,50,-0.67598
51,0.979,51,0.67598,51,0,51,-0.67598
52,0.979,52,0.67598,52,0,52,-0.67598
53,0.979,53,0.67598,53,0,53,-0.67598
54,0.979,54,0.67598,54,0,54,-0.67598
55,0.979,55,0.67598,55,0,55,-0.67598
56,0.979,56,0.67598,56,0,56,-0.67598
57,0.979,57,0.67598,57,0,57,-0.67598
58,0.979,58,0.67598,58,0,58,-0.67598
59,0.979,59,0.67598,59,0,59,-0.67598
60,0.979,60,0.67598,60,0,60,-0.67598
61,0.979,61,0.67598,61,0,61,-0.67598
62,0.979,62,0.67598,62,0,62,-0.67598
63,0.979,63,0.67598,63,0,63,-0.67598
