 - Controller, - Controller, - measured bending Angle, - measured bending Angle, - Bending angle reference, - Bending angle reference, - error, - error
0,0.75087,0,0.56841,0,0,0,-0.56841
1,0.75087,1,0.56841,1,0,1,-0.56841
2,0.75087,2,0.56841,2,0,2,-0.56841
3,0.75087,3,0.56841,3,0,3,-0.56841
4,0.75087,4,0.56841,4,0,4,-0.56841
5,0.75087,5,0.56841,5,0,5,-0.56841
6,0.75087,6,0.56841,6,0,6,-0.56841
7,0.75087,7,0.56841,7,0,7,-0.56841
8,0.75087,8,0.56841,8,0,8,-0.56841
9,0.75087,9,0.56841,9,0,9,-0.56841
10,0.75087,10,0.56841,10,0,10,-0.56841
11,0.75087,11,0.56841,11,0,11,-0.56841
12,0.75087,12,0.56841,12,0,12,-0.56841
13,0.75087,13,0.56841,13,0,13,-0.56841
14,0.75087,14,0.56841,14,0,14,-0.56841
15,0.75087,15,0.56841,15,0,15,-0.56841
16,0.75087,16,0.56841,16,0,16,-0.56841
17,0.75087,17,0.56841,17,0,17,-0.56841
18,0.75087,18,0.56841,18,0,18,-0.56841
19,0.75087,19,0.56841,19,0,19,-0.56841
20,0.75087,20,0.56841,20,0,20,-0.56841
21,0.75087,21,0.56841,21,0,21,-0.56841
22,0.75087,22,0.56841,22,0,22,-0.56841
23,0.75087,23,0.56841,23,0,23,-0.56841
24,0.75087,24,0.56841,24,0,24,-0.56841
25,0.75087,25,0.56841,25,0,25,-0.56841
26,0.75087,26,0.56841,26,0,26,-0.56841
27,0.75087,27,0.56841,27,0,27,-0.56841
28,0.75087,28,0.56841,28,0,28,-0.56841
29,0.75087,29,0.56841,29,0,29,-0.56841
30,0.75087,30,0.56841,30,0,30,-0.56841
31,0.75087,31,0.56841,31,0,31,-0.56841
32,0.75087,32,0.56841,32,0,32,-0.56841
33,0.75087,33,0.56841,33,0,33,-0.56841
34,0.75087,34,0.56841,34,0,34,-0.56841
35,0.75087,35,0.56841,35,0,35,-0.56841
36,0.75087,36,0.56841,36,0,36,-0.56841
37,0.75087,37,0.56841,37,0,37,-0.56841
38,0.75087,38,0.56841,38,0,38,-0.56841
39,0.75087,39,0.56841,39,0,39,-0.56841
40,0.75087,40,0.56841,40,0,40,-0.56841
41,0.75087,41,0.56841,41,0,41,-0.56841
42,0.75087,42,0.56841,42,0,42,-0.56841
43,0.75087,43,0.56841,43,0,43,-0.56841
44,0.75087,44,0.56841,44,0,44,-0.56841
45,0.75087,45,0.56841,45,0,45,-0.56841
46,0.75087,46,0.56841,46,0,46,-0.56841
47,0.75087,47,0.56841,47,0,47,-0.56841
48,0.75087,48,0.56841,48,0,48,-0.56841
49,0.75087,49,0.56841,49,0,49,-0.56841
50,0.75087,50,0.56841,50,0,50,-0.56841
